strategy,strategy_label,witness_count,overall_psr,accepted_events,total_events,per_event_psr,rejection_stage_counts,rejection_reason_counts
random,Random,2000,0.525828,1079,2052,"{""driver_arrival"": 0.49902534113060426, ""rider_dropoff_presence"": 0.5458089668615984, ""rider_pickup_presence"": 0.5185185185185185, ""trip_completion"": 0.5399610136452242}","{""witness"": 973}","{""witness:insufficient_witnesses"": 678, ""witness:rssi"": 294, ""witness:time_bound"": 1}"
random,Random,4000,0.778265,1597,2052,"{""driver_arrival"": 0.7660818713450293, ""rider_dropoff_presence"": 0.7894736842105263, ""rider_pickup_presence"": 0.7758284600389863, ""trip_completion"": 0.7816764132553606}","{""witness"": 455}","{""witness:insufficient_witnesses"": 309, ""witness:rssi"": 145, ""witness:time_bound"": 1}"
random,Random,6000,0.868421,1782,2052,"{""driver_arrival"": 0.8635477582846004, ""rider_dropoff_presence"": 0.8713450292397661, ""rider_pickup_presence"": 0.8713450292397661, ""trip_completion"": 0.8674463937621832}","{""witness"": 270}","{""witness:insufficient_witnesses"": 167, ""witness:rssi"": 102, ""witness:time_bound"": 1}"
random,Random,8000,0.911793,1871,2052,"{""driver_arrival"": 0.9200779727095516, ""rider_dropoff_presence"": 0.8966861598440545, ""rider_pickup_presence"": 0.9200779727095516, ""trip_completion"": 0.9103313840155945}","{""witness"": 181}","{""witness:insufficient_witnesses"": 103, ""witness:rssi"": 78}"
random,Random,10000,0.938596,1926,2052,"{""driver_arrival"": 0.9415204678362573, ""rider_dropoff_presence"": 0.9337231968810916, ""rider_pickup_presence"": 0.9434697855750487, ""trip_completion"": 0.935672514619883}","{""witness"": 126}","{""witness:insufficient_witnesses"": 73, ""witness:rssi"": 53}"
random,Random,12000,0.95614,1962,2052,"{""driver_arrival"": 0.9571150097465887, ""rider_dropoff_presence"": 0.9571150097465887, ""rider_pickup_presence"": 0.9590643274853801, ""trip_completion"": 0.9512670565302144}","{""witness"": 90}","{""witness:insufficient_witnesses"": 51, ""witness:rssi"": 39}"
grid,Uniform Grid,2000,0.300195,616,2052,"{""driver_arrival"": 0.27680311890838205, ""rider_dropoff_presence"": 0.32943469785575047, ""rider_pickup_presence"": 0.26705653021442494, ""trip_completion"": 0.32748538011695905}","{""witness"": 1436}","{""witness:insufficient_witnesses"": 803, ""witness:rssi"": 633}"
grid,Uniform Grid,4000,0.912281,1872,2052,"{""driver_arrival"": 0.9083820662768031, ""rider_dropoff_presence"": 0.9103313840155945, ""rider_pickup_presence"": 0.9161793372319688, ""trip_completion"": 0.9142300194931774}","{""witness"": 180}","{""witness:insufficient_witnesses"": 76, ""witness:rssi"": 103, ""witness:time_bound"": 1}"
grid,Uniform Grid,6000,0.953216,1956,2052,"{""driver_arrival"": 0.9610136452241715, ""rider_dropoff_presence"": 0.9473684210526315, ""rider_pickup_presence"": 0.9532163742690059, ""trip_completion"": 0.9512670565302144}","{""witness"": 96}","{""witness:insufficient_witnesses"": 54, ""witness:rssi"": 42}"
grid,Uniform Grid,8000,0.955653,1961,2052,"{""driver_arrival"": 0.9668615984405458, ""rider_dropoff_presence"": 0.9454191033138402, ""rider_pickup_presence"": 0.9590643274853801, ""trip_completion"": 0.9512670565302144}","{""witness"": 91}","{""witness:insufficient_witnesses"": 44, ""witness:rssi"": 47}"
