scenario,actual_distance_m,trials,repeats,trials_per_repeat,total_trials,detection_rate,detection_rate_std,detection_rate_ci95
S1,5,900,30,30,900,0.0,0.0,0.0
S1,20,900,30,30,900,0.0,0.0,0.0
S1,50,900,30,30,900,0.004444,0.011525,0.004124
S1,70,900,30,30,900,0.086667,0.046814,0.016752
S1,80,900,30,30,900,0.201111,0.091175,0.032627
S1,90,900,30,30,900,0.345556,0.099994,0.035782
S1,95,900,30,30,900,0.432222,0.071376,0.025542
S1,100,900,30,30,900,0.754444,0.073492,0.026299
S1,105,900,30,30,900,1.0,0.0,0.0
S1,110,900,30,30,900,1.0,0.0,0.0
S1,120,900,30,30,900,1.0,0.0,0.0
S1,200,900,30,30,900,1.0,0.0,0.0
S1,500,900,30,30,900,1.0,0.0,0.0
S1,1000,900,30,30,900,1.0,0.0,0.0
S1,5000,900,30,30,900,1.0,0.0,0.0
