order_id,event,lat,lon,time,trip_dist_m,trip_dur_s
0,driver_arrival,58.3853609,26.7404579,2.0,2368.4,412.0
0,rider_pickup_presence,58.3853609,26.7404579,78.73,2368.4,412.0
0,trip_completion,58.3900626,26.7008248,414.0,2368.4,412.0
0,rider_dropoff_presence,58.3900626,26.7008248,417.0,2368.4,412.0
1,driver_arrival,58.3799343,26.7388375,3.0,1711.5,330.0
1,rider_pickup_presence,58.3799343,26.7388375,36.0,1711.5,330.0
1,trip_completion,58.3861946,26.7120156,333.0,1711.5,330.0
1,rider_dropoff_presence,58.3861946,26.7120156,359.79,1711.5,330.0
10,driver_arrival,58.3637741,26.7733766,60.0,1079.3,220.0
10,rider_pickup_presence,58.3637741,26.7733766,148.38,1079.3,220.0
10,trip_completion,58.3732063,26.7777417,280.0,1079.3,220.0
10,rider_dropoff_presence,58.3732063,26.7777417,361.2,1079.3,220.0
100,driver_arrival,58.3720916,26.7614603,587.0,4404.8,649.0
100,rider_pickup_presence,58.3720916,26.7614603,694.06,4404.8,649.0
100,trip_completion,58.3897422,26.6938169,1236.0,4404.8,649.0
100,rider_dropoff_presence,58.3897422,26.6938169,1246.43,4404.8,649.0
101,driver_arrival,58.3835939,26.7302068,588.0,2083.2,460.0
101,rider_pickup_presence,58.3835939,26.7302068,638.63,2083.2,460.0
101,trip_completion,58.3879336,26.6954392,1048.0,2083.2,460.0
101,rider_dropoff_presence,58.3879336,26.6954392,1051.58,2083.2,460.0
102,driver_arrival,58.3878319,26.7102284,594.0,2561.7,440.0
102,rider_pickup_presence,58.3878319,26.7102284,620.24,2561.7,440.0
102,trip_completion,58.376474,26.7484619,1034.0,2561.7,440.0
102,rider_dropoff_presence,58.376474,26.7484619,1094.64,2561.7,440.0
103,driver_arrival,58.375622,26.7661065,595.0,4478.9,1044.0
103,rider_pickup_presence,58.375622,26.7661065,598.18,4478.9,1044.0
103,trip_completion,58.3713747,26.6897209,1639.0,4478.9,1044.0
103,rider_dropoff_presence,58.3713747,26.6897209,1662.86,4478.9,1044.0
104,driver_arrival,58.384668,26.6975829,598.0,4160.5,624.0
104,rider_pickup_presence,58.384668,26.6975829,675.99,4160.5,624.0
104,trip_completion,58.3775066,26.7676326,1222.0,4160.5,624.0
104,rider_dropoff_presence,58.3775066,26.7676326,1287.39,4160.5,624.0
105,driver_arrival,58.3789684,26.7432522,604.0,2781.8,656.0
105,rider_pickup_presence,58.3789684,26.7432522,630.45,2781.8,656.0
105,trip_completion,58.3773458,26.6956384,1260.0,2781.8,656.0
105,rider_dropoff_presence,58.3773458,26.6956384,1330.71,2781.8,656.0
106,driver_arrival,58.3738329,26.7070534,608.0,1922.8,274.0
106,rider_pickup_presence,58.3738329,26.7070534,705.13,1922.8,274.0
106,trip_completion,58.3622628,26.7315564,882.0,1922.8,274.0
106,rider_dropoff_presence,58.3622628,26.7315564,882.78,1922.8,274.0
107,driver_arrival,58.3878831,26.7098465,611.0,2628.5,380.0
107,rider_pickup_presence,58.3878831,26.7098465,707.7,2628.5,380.0
107,trip_completion,58.3759088,26.7487242,991.0,2628.5,380.0
107,rider_dropoff_presence,58.3759088,26.7487242,1074.78,2628.5,380.0
108,driver_arrival,58.3784721,26.7455013,611.0,1782.2,290.0
108,rider_pickup_presence,58.3784721,26.7455013,651.83,1782.2,290.0
108,trip_completion,58.3870234,26.7196436,901.0,1782.2,290.0
108,rider_dropoff_presence,58.3870234,26.7196436,919.66,1782.2,290.0
109,driver_arrival,58.3637154,26.7068973,617.0,864.9,82.0
109,rider_pickup_presence,58.3637154,26.7068973,731.87,864.9,82.0
109,trip_completion,58.3674467,26.6938852,699.0,864.9,82.0
109,rider_dropoff_presence,58.3674467,26.6938852,739.39,864.9,82.0
11,driver_arrival,58.3829489,26.7189652,77.0,3465.3,765.0
11,rider_pickup_presence,58.3829489,26.7189652,88.13,3465.3,765.0
11,trip_completion,58.3703106,26.7732933,842.0,3465.3,765.0
11,rider_dropoff_presence,58.3703106,26.7732933,853.61,3465.3,765.0
110,driver_arrival,58.387053,26.7240498,630.0,3181.7,609.0
110,rider_pickup_presence,58.387053,26.7240498,731.7,3181.7,609.0
110,trip_completion,58.3734329,26.7720474,1239.0,3181.7,609.0
110,rider_dropoff_presence,58.3734329,26.7720474,1311.45,3181.7,609.0
111,driver_arrival,58.3671585,26.7423342,638.0,2908.5,534.0
111,rider_pickup_presence,58.3671585,26.7423342,734.86,2908.5,534.0
111,trip_completion,58.3885368,26.7135891,1172.0,2908.5,534.0
111,rider_dropoff_presence,58.3885368,26.7135891,1259.57,2908.5,534.0
112,driver_arrival,58.3779663,26.7289977,646.0,1623.6,194.0
112,rider_pickup_presence,58.3779663,26.7289977,710.35,1623.6,194.0
112,trip_completion,58.3772636,26.7568145,840.0,1623.6,194.0
112,rider_dropoff_presence,58.3772636,26.7568145,956.77,1623.6,194.0
113,driver_arrival,58.3750199,26.7152358,646.0,1919.0,406.0
113,rider_pickup_presence,58.3750199,26.7152358,691.42,1919.0,406.0
113,trip_completion,58.3792564,26.7471434,1052.0,1919.0,406.0
113,rider_dropoff_presence,58.3792564,26.7471434,1118.24,1919.0,406.0
114,driver_arrival,58.3815638,26.7379115,652.0,3691.6,847.0
114,rider_pickup_presence,58.3815638,26.7379115,751.53,3691.6,847.0
114,trip_completion,58.3666794,26.6813185,1499.0,3691.6,847.0
114,rider_dropoff_presence,58.3666794,26.6813185,1573.22,3691.6,847.0
115,driver_arrival,58.3816649,26.6847818,668.0,3469.3,420.0
115,rider_pickup_presence,58.3816649,26.6847818,771.4,3469.3,420.0
115,trip_completion,58.3600288,26.7276461,1088.0,3469.3,420.0
115,rider_dropoff_presence,58.3600288,26.7276461,1157.28,3469.3,420.0
116,driver_arrival,58.3846514,26.7264006,677.0,504.9,94.0
116,rider_pickup_presence,58.3846514,26.7264006,761.55,504.9,94.0
116,trip_completion,58.3867769,26.7340549,771.0,504.9,94.0
116,rider_dropoff_presence,58.3867769,26.7340549,776.5,504.9,94.0
117,driver_arrival,58.372446,26.6847104,677.0,1858.7,253.0
117,rider_pickup_presence,58.372446,26.6847104,704.35,1858.7,253.0
117,trip_completion,58.37717,26.7152892,930.0,1858.7,253.0
117,rider_dropoff_presence,58.37717,26.7152892,964.73,1858.7,253.0
118,driver_arrival,58.3859774,26.7291279,678.0,2452.8,274.0
118,rider_pickup_presence,58.3859774,26.7291279,687.58,2452.8,274.0
118,trip_completion,58.3646311,26.739735,952.0,2452.8,274.0
118,rider_dropoff_presence,58.3646311,26.739735,979.93,2452.8,274.0
119,driver_arrival,58.3696361,26.7388521,684.0,1757.0,610.0
119,rider_pickup_presence,58.3696361,26.7388521,696.12,1757.0,610.0
119,trip_completion,58.3762946,26.7115256,1294.0,1757.0,610.0
119,rider_dropoff_presence,58.3762946,26.7115256,1327.36,1757.0,610.0
12,driver_arrival,58.3728956,26.708891,87.0,1280.7,382.0
12,rider_pickup_presence,58.3728956,26.708891,163.28,1280.7,382.0
12,trip_completion,58.3778135,26.7287539,469.0,1280.7,382.0
12,rider_dropoff_presence,58.3778135,26.7287539,512.78,1280.7,382.0
120,driver_arrival,58.3801316,26.7533982,694.0,1007.7,150.0
120,rider_pickup_presence,58.3801316,26.7533982,738.42,1007.7,150.0
120,trip_completion,58.3836723,26.7374851,844.0,1007.7,150.0
120,rider_dropoff_presence,58.3836723,26.7374851,869.14,1007.7,150.0
121,driver_arrival,58.3622708,26.7345613,706.0,1763.9,194.0
121,rider_pickup_presence,58.3622708,26.7345613,738.04,1763.9,194.0
121,trip_completion,58.3770567,26.7455192,900.0,1763.9,194.0
121,rider_dropoff_presence,58.3770567,26.7455192,1012.4,1763.9,194.0
122,driver_arrival,58.3763522,26.7486902,707.0,222.0,61.0
122,rider_pickup_presence,58.3763522,26.7486902,784.76,222.0,61.0
122,trip_completion,58.3781275,26.7504329,768.0,222.0,61.0
122,rider_dropoff_presence,58.3781275,26.7504329,841.1,222.0,61.0
123,driver_arrival,58.374574,26.7689425,716.0,3419.3,717.0
123,rider_pickup_presence,58.374574,26.7689425,736.54,3419.3,717.0
123,trip_completion,58.3814954,26.7117991,1433.0,3419.3,717.0
123,rider_dropoff_presence,58.3814954,26.7117991,1520.5,3419.3,717.0
124,driver_arrival,58.3836213,26.7202059,720.0,1664.1,323.0
124,rider_pickup_presence,58.3836213,26.7202059,739.61,1664.1,323.0
124,trip_completion,58.3831897,26.7487423,1043.0,1664.1,323.0
124,rider_dropoff_presence,58.3831897,26.7487423,1088.53,1664.1,323.0
125,driver_arrival,58.3747063,26.7154534,722.0,3211.6,731.0
125,rider_pickup_presence,58.3747063,26.7154534,840.74,3211.6,731.0
125,trip_completion,58.3742436,26.7705279,1453.0,3211.6,731.0
125,rider_dropoff_presence,58.3742436,26.7705279,1529.8,3211.6,731.0
126,driver_arrival,58.3701238,26.7776284,724.0,2379.4,473.0
126,rider_pickup_presence,58.3701238,26.7776284,790.83,2379.4,473.0
126,trip_completion,58.3792321,26.7407018,1197.0,2379.4,473.0
126,rider_dropoff_presence,58.3792321,26.7407018,1279.15,2379.4,473.0
127,driver_arrival,58.3830171,26.7178937,737.0,1775.3,746.0
127,rider_pickup_presence,58.3830171,26.7178937,838.14,1775.3,746.0
127,trip_completion,58.3672822,26.7230555,1483.0,1775.3,746.0
127,rider_dropoff_presence,58.3672822,26.7230555,1576.12,1775.3,746.0
128,driver_arrival,58.3653284,26.7105296,739.0,1234.4,234.0
128,rider_pickup_presence,58.3653284,26.7105296,766.49,1234.4,234.0
128,trip_completion,58.3715476,26.7280631,973.0,1234.4,234.0
128,rider_dropoff_presence,58.3715476,26.7280631,976.85,1234.4,234.0
129,driver_arrival,58.3766281,26.7187567,743.0,358.2,451.0
129,rider_pickup_presence,58.3766281,26.7187567,780.85,358.2,451.0
