order_id,event,lat,lon,time,trip_dist_m,trip_dur_s
0,driver_arrival,58.3774948,26.754309,11.0,1477.2,438.0
0,rider_pickup_presence,58.3774948,26.754309,87.73,1477.2,438.0
0,trip_completion,58.3720592,26.7774257,449.0,1477.2,438.0
0,rider_dropoff_presence,58.3720592,26.7774257,452.0,1477.2,438.0
1,driver_arrival,58.3785516,26.7014573,13.0,4143.4,758.0
1,rider_pickup_presence,58.3785516,26.7014573,46.0,4143.4,758.0
1,trip_completion,58.3792917,26.7725138,771.0,4143.4,758.0
1,rider_dropoff_presence,58.3792917,26.7725138,797.79,4143.4,758.0
10,driver_arrival,58.3773345,26.722423,66.0,1527.3,503.0
10,rider_pickup_presence,58.3773345,26.722423,154.38,1527.3,503.0
10,trip_completion,58.3832625,26.7460563,569.0,1527.3,503.0
10,rider_dropoff_presence,58.3832625,26.7460563,650.2,1527.3,503.0
100,driver_arrival,58.3870788,26.7195416,713.0,1174.3,305.0
100,rider_pickup_presence,58.3870788,26.7195416,820.06,1174.3,305.0
100,trip_completion,58.3777337,26.7289261,1018.0,1174.3,305.0
100,rider_dropoff_presence,58.3777337,26.7289261,1028.43,1174.3,305.0
101,driver_arrival,58.3762973,26.7784684,722.0,2416.5,343.0
101,rider_pickup_presence,58.3762973,26.7784684,772.63,2416.5,343.0
101,trip_completion,58.3679897,26.7401745,1065.0,2416.5,343.0
101,rider_dropoff_presence,58.3679897,26.7401745,1068.58,2416.5,343.0
102,driver_arrival,58.3730857,26.6932504,728.0,1983.0,287.0
102,rider_pickup_presence,58.3730857,26.6932504,754.24,1983.0,287.0
102,trip_completion,58.3600765,26.7165074,1015.0,1983.0,287.0
102,rider_dropoff_presence,58.3600765,26.7165074,1075.64,1983.0,287.0
103,driver_arrival,58.3627564,26.7304288,732.0,2578.6,358.0
103,rider_pickup_presence,58.3627564,26.7304288,735.18,2578.6,358.0
103,trip_completion,58.3833183,26.709981,1090.0,2578.6,358.0
103,rider_dropoff_presence,58.3833183,26.709981,1113.86,2578.6,358.0
104,driver_arrival,58.3841928,26.723175,736.0,2134.0,395.0
104,rider_pickup_presence,58.3841928,26.723175,813.99,2134.0,395.0
104,trip_completion,58.3722664,26.751853,1131.0,2134.0,395.0
104,rider_dropoff_presence,58.3722664,26.751853,1196.39,2134.0,395.0
105,driver_arrival,58.3779663,26.7286291,739.0,1764.0,453.0
105,rider_pickup_presence,58.3779663,26.7286291,765.45,1764.0,453.0
105,trip_completion,58.365184,26.710711,1192.0,1764.0,453.0
105,rider_dropoff_presence,58.365184,26.710711,1262.71,1764.0,453.0
106,driver_arrival,58.3732582,26.6995986,740.0,2339.2,370.0
106,rider_pickup_presence,58.3732582,26.6995986,837.13,2339.2,370.0
106,trip_completion,58.3883342,26.7275845,1110.0,2339.2,370.0
106,rider_dropoff_presence,58.3883342,26.7275845,1110.78,2339.2,370.0
107,driver_arrival,58.3737652,26.7682088,741.0,2285.2,435.0
107,rider_pickup_presence,58.3737652,26.7682088,837.7,2285.2,435.0
107,trip_completion,58.3787017,26.7301621,1176.0,2285.2,435.0
107,rider_dropoff_presence,58.3787017,26.7301621,1259.78,2285.2,435.0
108,driver_arrival,58.3757058,26.7099774,747.0,3302.2,554.0
108,rider_pickup_presence,58.3757058,26.7099774,787.83,3302.2,554.0
108,trip_completion,58.3710103,26.7658988,1301.0,3302.2,554.0
108,rider_dropoff_presence,58.3710103,26.7658988,1319.66,3302.2,554.0
109,driver_arrival,58.3741393,26.712247,754.0,1842.0,280.0
109,rider_pickup_presence,58.3741393,26.712247,868.87,1842.0,280.0
109,trip_completion,58.3670649,26.7408094,1034.0,1842.0,280.0
109,rider_dropoff_presence,58.3670649,26.7408094,1074.39,1842.0,280.0
11,driver_arrival,58.3833847,26.7600758,73.0,2382.9,227.0
11,rider_pickup_presence,58.3833847,26.7600758,84.13,2382.9,227.0
11,trip_completion,58.3658542,26.7365705,300.0,2382.9,227.0
11,rider_dropoff_presence,58.3658542,26.7365705,311.61,2382.9,227.0
110,driver_arrival,58.3810626,26.7380251,775.0,2315.9,296.0
110,rider_pickup_presence,58.3810626,26.7380251,876.7,2315.9,296.0
110,trip_completion,58.377422,26.7771389,1071.0,2315.9,296.0
110,rider_dropoff_presence,58.377422,26.7771389,1143.45,2315.9,296.0
111,driver_arrival,58.3700395,26.7293539,788.0,984.1,177.0
111,rider_pickup_presence,58.3700395,26.7293539,884.86,984.1,177.0
111,trip_completion,58.3647253,26.7428477,965.0,984.1,177.0
111,rider_dropoff_presence,58.3647253,26.7428477,1052.57,984.1,177.0
112,driver_arrival,58.3766566,26.6818794,795.0,1895.8,224.0
112,rider_pickup_presence,58.3766566,26.6818794,859.35,1895.8,224.0
112,trip_completion,58.3636902,26.7029889,1019.0,1895.8,224.0
112,rider_dropoff_presence,58.3636902,26.7029889,1135.77,1895.8,224.0
113,driver_arrival,58.3657141,26.7316344,795.0,1535.8,150.0
113,rider_pickup_presence,58.3657141,26.7316344,840.42,1535.8,150.0
113,trip_completion,58.3757502,26.7497288,945.0,1535.8,150.0
113,rider_dropoff_presence,58.3757502,26.7497288,1011.24,1535.8,150.0
114,driver_arrival,58.3768051,26.7462814,799.0,3224.1,547.0
114,rider_pickup_presence,58.3768051,26.7462814,898.53,3224.1,547.0
114,trip_completion,58.3873262,26.6947441,1346.0,3224.1,547.0
114,rider_dropoff_presence,58.3873262,26.6947441,1420.22,3224.1,547.0
115,driver_arrival,58.3745704,26.7614806,799.0,3828.9,596.0
115,rider_pickup_presence,58.3745704,26.7614806,902.4,3828.9,596.0
115,trip_completion,58.3844646,26.6985723,1395.0,3828.9,596.0
115,rider_dropoff_presence,58.3844646,26.6985723,1464.28,3828.9,596.0
116,driver_arrival,58.3896184,26.7181614,802.0,2351.4,412.0
116,rider_pickup_presence,58.3896184,26.7181614,886.55,2351.4,412.0
116,trip_completion,58.3854044,26.7576949,1214.0,2351.4,412.0
116,rider_dropoff_presence,58.3854044,26.7576949,1219.5,2351.4,412.0
117,driver_arrival,58.3787117,26.7633693,805.0,2950.0,526.0
117,rider_pickup_presence,58.3787117,26.7633693,832.35,2950.0,526.0
117,trip_completion,58.3796992,26.7128027,1331.0,2950.0,526.0
117,rider_dropoff_presence,58.3796992,26.7128027,1365.73,2950.0,526.0
118,driver_arrival,58.3872742,26.7114359,809.0,1130.6,213.0
118,rider_pickup_presence,58.3872742,26.7114359,818.58,1130.6,213.0
118,trip_completion,58.3893163,26.6924323,1022.0,1130.6,213.0
118,rider_dropoff_presence,58.3893163,26.6924323,1049.93,1130.6,213.0
119,driver_arrival,58.384467,26.7177542,811.0,732.6,135.0
119,rider_pickup_presence,58.384467,26.7177542,823.12,732.6,135.0
119,trip_completion,58.3864701,26.7297275,946.0,732.6,135.0
119,rider_dropoff_presence,58.3864701,26.7297275,979.36,732.6,135.0
12,driver_arrival,58.3683154,26.74734,83.0,1157.0,282.0
12,rider_pickup_presence,58.3683154,26.74734,159.28,1157.0,282.0
12,trip_completion,58.3783136,26.7418425,365.0,1157.0,282.0
12,rider_dropoff_presence,58.3783136,26.7418425,408.78,1157.0,282.0
120,driver_arrival,58.3781433,26.7490937,812.0,2607.3,392.0
120,rider_pickup_presence,58.3781433,26.7490937,856.42,2607.3,392.0
120,trip_completion,58.3755275,26.7046537,1204.0,2607.3,392.0
120,rider_dropoff_presence,58.3755275,26.7046537,1229.14,2607.3,392.0
121,driver_arrival,58.3725906,26.7779145,821.0,3233.3,697.0
121,rider_pickup_presence,58.3725906,26.7779145,853.04,3233.3,697.0
121,trip_completion,58.3684558,26.723031,1518.0,3233.3,697.0
121,rider_dropoff_presence,58.3684558,26.723031,1630.4,3233.3,697.0
122,driver_arrival,58.3694783,26.7116426,831.0,1437.0,261.0
122,rider_pickup_presence,58.3694783,26.7116426,908.76,1437.0,261.0
122,trip_completion,58.3632489,26.7332315,1092.0,1437.0,261.0
122,rider_dropoff_presence,58.3632489,26.7332315,1165.1,1437.0,261.0
123,driver_arrival,58.3787157,26.7675367,835.0,4866.8,707.0
123,rider_pickup_presence,58.3787157,26.7675367,855.54,4866.8,707.0
123,trip_completion,58.3794457,26.6840689,1542.0,4866.8,707.0
123,rider_dropoff_presence,58.3794457,26.6840689,1629.5,4866.8,707.0
124,driver_arrival,58.3714176,26.7680229,838.0,3603.0,908.0
124,rider_pickup_presence,58.3714176,26.7680229,857.61,3603.0,908.0
124,trip_completion,58.3754089,26.7067014,1746.0,3603.0,908.0
124,rider_dropoff_presence,58.3754089,26.7067014,1791.53,3603.0,908.0
125,driver_arrival,58.3724196,26.7571313,843.0,2267.5,389.0
125,rider_pickup_presence,58.3724196,26.7571313,961.74,2267.5,389.0
125,trip_completion,58.3810218,26.7218702,1232.0,2267.5,389.0
125,rider_dropoff_presence,58.3810218,26.7218702,1308.8,2267.5,389.0
126,driver_arrival,58.3749939,26.7174512,845.0,3482.7,759.0
126,rider_pickup_presence,58.3749939,26.7174512,911.83,3482.7,759.0
